订单号,商品名称,商品一级分类,订单创建时间
0228195134002500004,白心火龙果大果,应季水果,2018-02-28 19:51:34
0228195134002500004,白心火龙果大果,应季水果,2018-02-28 19:51:34
0228195131090000005,特价红心火龙果,应季水果,2018-02-28 19:51:31
0228195110047900014,套袋草莓,精品水果,2018-02-28 19:51:10
0228195110047900014,中华红橙,应季水果,2018-02-28 19:51:10
0228195104010400001,广西国产香蕉,应季水果,2018-02-28 19:51:04
0228194906022600012,广东皇帝柑,应季水果,2018-02-28 19:49:06
0228194906022600012,广西国产香蕉,应季水果,2018-02-28 19:49:06
0228194906022600012,精品富士苹果（全红）,应季水果,2018-02-28 19:49:06
0228194756084000003,甜宝草莓,应季水果,2018-02-28 19:47:56
0228194641023700004,广西沙糖桔,应季水果,2018-02-28 19:46:41
0228194448070700013,特价,应季水果,2018-02-28 19:44:48
0228194350052600008,西州蜜,应季水果,2018-02-28 19:43:50
0228194108068300003,千禧圣女果） 斤,应季水果,2018-02-28 19:41:08
0228194108068300003,菠萝蜜,精品水果,2018-02-28 19:41:08
0228194034012000004,特价苹果,应季水果,2018-02-28 19:40:34
0228193856001200007,广西国产香蕉,应季水果,2018-02-28 19:38:56
0228193856001200007,杨氏橙,精品水果,2018-02-28 19:38:56
0228193751064200005,盒装龙眼,精品水果,2018-02-28 19:37:51
0228193738004000007,沙糖桔,应季水果,2018-02-28 19:37:38
0228193725095500001,甜宝草莓,应季水果,2018-02-28 19:37:25
0228193725095500001,沙糖桔,应季水果,2018-02-28 19:37:25
0228193457082500011,菠萝蜜,精品水果,2018-02-28 19:34:57
0228193430071900003,新疆纸皮核桃,应季水果,2018-02-28 19:34:30
0228193330025400003,套袋草莓,精品水果,2018-02-28 19:33:30
0228193240040000005,套袋草莓,精品水果,2018-02-28 19:32:40
0228193033029200005,杨氏橙,精品水果,2018-02-28 19:30:33
0228192905099800006,广西国产香蕉,应季水果,2018-02-28 19:29:05
0228192611076400002,套袋草莓,精品水果,2018-02-28 19:26:11
0228192611076400002,小台农芒果,应季水果,2018-02-28 19:26:11
0228192611076400002,白心火龙果大果,应季水果,2018-02-28 19:26:11
0228192427053100001,韩国梨,应季水果,2018-02-28 19:24:27
0228192427053100001,沙糖桔,应季水果,2018-02-28 19:24:27
0228192415051800296,广西沙糖桔,应季水果,2018-02-28 19:24:15
0228192209056500002,特价苹果,应季水果,2018-02-28 19:22:09
0228192209056500002,普通白心柚子,应季水果,2018-02-28 19:22:09
0228192209056500002,二级香梨,应季水果,2018-02-28 19:22:09
0228192104040800002,海南圣女果,应季水果,2018-02-28 19:21:04
0228192104040800002,高原红苹果,应季水果,2018-02-28 19:21:04
0228192104040800002,特价,应季水果,2018-02-28 19:21:04
0228192012075600616,特价,应季水果,2018-02-28 19:20:12
0228191915057500007,甜宝草莓,应季水果,2018-02-28 19:19:15
0228191830029100007,白心火龙果大果,应季水果,2018-02-28 19:18:30
0228191641085200004,广西沙糖桔,应季水果,2018-02-28 19:16:41
0228191641085200004,广西国产香蕉,应季水果,2018-02-28 19:16:41
0228191638064900007,粑粑柑,精品水果,2018-02-28 19:16:38
0228191615048500002,海南圣女果,应季水果,2018-02-28 19:16:15
0228191523020200004,白心火龙果小果,应季水果,2018-02-28 19:15:23
0228191428088800005,杨氏橙礼盒装,精品水果,2018-02-28 19:14:28
0228191416047800003,套袋草莓,精品水果,2018-02-28 19:14:16
0228191325073500003,广西沙糖桔,应季水果,2018-02-28 19:13:25
0228191325073500003,广西国产香蕉,应季水果,2018-02-28 19:13:25
0228191221091300003,广西金桔,应季水果,2018-02-28 19:12:21
0228191119073700003,小台农芒果,应季水果,2018-02-28 19:11:19
0228191107091200004,广西沙糖桔,应季水果,2018-02-28 19:11:07
0228191101033800007,精品白心柚子,应季水果,2018-02-28 19:11:01
0228191049059900001,麒麟瓜,应季水果,2018-02-28 19:10:49
0228191049059900001,秘鲁进口蓝莓,应季水果,2018-02-28 19:10:49
0228191044004200004,广西沙糖桔,应季水果,2018-02-28 19:10:44
0228190743004300009,特价,应季水果,2018-02-28 19:07:43
0228190634024700003,海南白雪蜜瓜,应季水果,2018-02-28 19:06:34
0228190604101700002,广西沙糖桔,应季水果,2018-02-28 19:06:04
0228190452047100007,沙糖桔,应季水果,2018-02-28 19:04:52
0228190242059400006,海南圣女果,应季水果,2018-02-28 19:02:42
0228190240000700001,粑粑柑,精品水果,2018-02-28 19:02:40
0228190240000700001,特价,应季水果,2018-02-28 19:02:40
0228190224049900005,广东皇帝柑,应季水果,2018-02-28 19:02:24
0228190224049900005,套袋草莓,精品水果,2018-02-28 19:02:24
0228190046055900007,四川爱媛橙,应季水果,2018-02-28 19:00:46
0228185934047600004,广西沙糖桔,应季水果,2018-02-28 18:59:34
0228185833094400006,白心火龙果小果,应季水果,2018-02-28 18:58:33
0228185752087900006,广西百香果 包,应季水果,2018-02-28 18:57:52
0228185752087900006,智利牛油果,应季水果,2018-02-28 18:57:52
0228185752087900006,广西国产香蕉,应季水果,2018-02-28 18:57:52
0228185652069500004,广西沙糖桔,应季水果,2018-02-28 18:56:52
0228185652069500004,广西国产香蕉,应季水果,2018-02-28 18:56:52
0228185646061100006,杨氏橙,精品水果,2018-02-28 18:56:46
0228185634069100001,千禧圣女果） 斤,应季水果,2018-02-28 18:56:34
0228185536021900004,套袋草莓,精品水果,2018-02-28 18:55:36
0228185535098100005,沙糖桔,应季水果,2018-02-28 18:55:35
0228185508006000002,广西沙糖桔,应季水果,2018-02-28 18:55:08
0228185343097200002,甜宝草莓,应季水果,2018-02-28 18:53:43
0228185339068700005,黑美人西瓜,应季水果,2018-02-28 18:53:39
0228185339068700005,杨氏橙,精品水果,2018-02-28 18:53:39
0228185338098700001,广西沙糖桔,应季水果,2018-02-28 18:53:38
0228185338098700001,甜宝草莓,应季水果,2018-02-28 18:53:38
0228185228073700004,高原红苹果,应季水果,2018-02-28 18:52:28
0228185118065700002,广西沙糖桔,应季水果,2018-02-28 18:51:18
0228185112018400004,广西国产香蕉,应季水果,2018-02-28 18:51:12
0228185034018900001,粑粑柑,精品水果,2018-02-28 18:50:34
0228185023034800002,套袋草莓,精品水果,2018-02-28 18:50:23
0228185023034800002,散装柠檬,应季水果,2018-02-28 18:50:23
0228185014058900002,甜宝草莓,应季水果,2018-02-28 18:50:14
0228184921095700005,千禧圣女果） 斤,应季水果,2018-02-28 18:49:21
0228184921095700005,广西沙糖桔,应季水果,2018-02-28 18:49:21
0228184916047200004,特价,应季水果,2018-02-28 18:49:16
0228184747051700003,广西国产香蕉,应季水果,2018-02-28 18:47:47
0228184745027500002,广西沙糖桔,应季水果,2018-02-28 18:47:45
0228184659081500002,精品白心柚子,应季水果,2018-02-28 18:46:59
0228184657041600001,广西国产香蕉,应季水果,2018-02-28 18:46:57
0228184213028300003,特价,应季水果,2018-02-28 18:42:13
0228184156046100005,白心火龙果大果,应季水果,2018-02-28 18:41:56
0228184152043200003,沙糖桔,应季水果,2018-02-28 18:41:52
0228184034018600001,新疆若羌红枣,应季水果,2018-02-28 18:40:34
0228184034018600001,精品白心柚子,应季水果,2018-02-28 18:40:34
0228183843063600006,新西兰奇异果绿果 1个,精品水果,2018-02-28 18:38:43
0228183843063600006,椰蓉酥、燕麦酥、榴莲酥,应季水果,2018-02-28 18:38:43
0228183843063600006,精品白心柚子,应季水果,2018-02-28 18:38:43
0228183843063600006,杨氏橙,精品水果,2018-02-28 18:38:43
0228183838003800004,菠萝蜜,精品水果,2018-02-28 18:38:38
0228183743029800003,四川爱媛橙,应季水果,2018-02-28 18:37:43
0228183708003600002,库尔勒香梨（二级） 斤,应季水果,2018-02-28 18:37:08
0228183708003600002,四川爱媛橙,应季水果,2018-02-28 18:37:08
0228183657036900006,金帅苹果,应季水果,2018-02-28 18:36:57
0228183506038600002,莱阳梨,应季水果,2018-02-28 18:35:06
0228183506038600002,每日多25.3橙家庭装,精品水果,2018-02-28 18:35:06
0228183339038600001,沙糖桔,应季水果,2018-02-28 18:33:39
0228183322004600012,国产红提葡萄,精品水果,2018-02-28 18:33:22
0228183307032400001,甜宝草莓,应季水果,2018-02-28 18:33:07
0228183307032400001,进口香蕉（都乐香蕉）,应季水果,2018-02-28 18:33:07
0228183245066000001,蜂蜜奇异果,应季水果,2018-02-28 18:32:45
0228183216096900003,库尔勒香梨,应季水果,2018-02-28 18:32:16
0228183133043200003,泰国榴莲肉 盒,精品水果,2018-02-28 18:31:33
0228183113029500005,库尔勒香梨（一级）,应季水果,2018-02-28 18:31:13
0228183113029500005,金帅苹果,应季水果,2018-02-28 18:31:13
0228183111041500001,海南圣女果,应季水果,2018-02-28 18:31:11
0228183111041500001,白心火龙果大果,应季水果,2018-02-28 18:31:11
0228183035073700003,鲜油桃,应季水果,2018-02-28 18:30:35
0228183003047300005,盒装龙眼,精品水果,2018-02-28 18:30:03
0228182939019100003,精品富士,应季水果,2018-02-28 18:29:39
0228182918010700003,套袋草莓,精品水果,2018-02-28 18:29:18
0228182836080000001,白心火龙果大果,应季水果,2018-02-28 18:28:36
0228182743031400002,粑粑柑,精品水果,2018-02-28 18:27:43
0228182631036100003,红提葡萄 斤,应季水果,2018-02-28 18:26:31
0228182631036100003,国产猕猴桃,应季水果,2018-02-28 18:26:31
0228182631036100003,沙糖桔,应季水果,2018-02-28 18:26:31
0228182550013600001,甜宝草莓,应季水果,2018-02-28 18:25:50
0228182540100400003,广西国产香蕉,应季水果,2018-02-28 18:25:40
0228182459078300003,莱阳梨,应季水果,2018-02-28 18:24:59
0228182459078300003,沙糖桔,应季水果,2018-02-28 18:24:59
0228182459078300003,沙糖桔,应季水果,2018-02-28 18:24:59
0228182459078300003,沙糖桔,应季水果,2018-02-28 18:24:59
0228182459078300003,沙糖桔,应季水果,2018-02-28 18:24:59
0228182459078300003,皇冠梨,应季水果,2018-02-28 18:24:59
0228182358003600003,甜宝草莓,应季水果,2018-02-28 18:23:58
0228182306084900005,特价红心火龙果,应季水果,2018-02-28 18:23:06
0228182306084900005,广西国产香蕉,应季水果,2018-02-28 18:23:06
0228182306084900005,菠萝蜜,精品水果,2018-02-28 18:23:06
0228182304014300003,河北皇冠梨 河北斤,应季水果,2018-02-28 18:23:04
0228182304014300003,海南圣女果,应季水果,2018-02-28 18:23:04
0228182304014300003,新疆阿克苏冰糖心苹果,应季水果,2018-02-28 18:23:04
0228182304014300003,沙糖桔,应季水果,2018-02-28 18:23:04
0228182304014300003,比利时啤梨,精品水果,2018-02-28 18:23:04
0228182238001100004,广西国产香蕉,应季水果,2018-02-28 18:22:38
0228182050090900005,特价,应季水果,2018-02-28 18:20:50
0228182030089700002,套袋草莓,精品水果,2018-02-28 18:20:30
0228182030089700002,香蕉,应季水果,2018-02-28 18:20:30
0228182009003600002,新疆阿克苏冰糖心苹果,应季水果,2018-02-28 18:20:09
0228182009003600002,广西国产香蕉,应季水果,2018-02-28 18:20:09
0228181932064600007,广东皇帝柑,应季水果,2018-02-28 18:19:32
0228181848011200004,金帅苹果,应季水果,2018-02-28 18:18:48
0228181838006500005,特价红心火龙果,应季水果,2018-02-28 18:18:38
0228181808012600006,千禧圣女果） 斤,应季水果,2018-02-28 18:18:08
0228181808012600006,库尔勒香梨（一级）,应季水果,2018-02-28 18:18:08
0228181808012600006,黑美人西瓜,应季水果,2018-02-28 18:18:08
0228181807072800001,红提葡萄 斤,应季水果,2018-02-28 18:18:07
0228181725031800002,玫珑瓜,应季水果,2018-02-28 18:17:25
0228181708097500001,广西国产香蕉,应季水果,2018-02-28 18:17:08
0228181646018100002,菠萝蜜,精品水果,2018-02-28 18:16:46
0228181529065900004,广西沙糖桔,应季水果,2018-02-28 18:15:29
0228181524100100002,海南圣女果,应季水果,2018-02-28 18:15:24
0228181524100100002,比利时啤梨,精品水果,2018-02-28 18:15:24
0228181425081500006,河北皇冠梨 河北斤,应季水果,2018-02-28 18:14:25
0228181425081500006,杨氏橙,精品水果,2018-02-28 18:14:25
0228181351014000002,精品白心柚子,应季水果,2018-02-28 18:13:51
0228181252062900001,广西沙糖桔,应季水果,2018-02-28 18:12:52
0228181252062900001,河北皇冠梨 河北斤,应季水果,2018-02-28 18:12:52
0228181241018500005,甜宝草莓,应季水果,2018-02-28 18:12:41
0228181126089100006,新疆阿克苏冰糖心苹果,精品水果,2018-02-28 18:11:26
0228181116090800003,广西沙糖桔,应季水果,2018-02-28 18:11:16
0228181038049500002,套袋草莓,精品水果,2018-02-28 18:10:38
0228181038049500002,香蕉,应季水果,2018-02-28 18:10:38
0228181010011600007,广西国产香蕉,应季水果,2018-02-28 18:10:10
0228180852092200005,精品富士苹果（全红）,应季水果,2018-02-28 18:08:52
0228180817029300001,新疆阿克苏苹果（整箱）,应季水果,2018-02-28 18:08:17
0228180810067200003,二级香梨,应季水果,2018-02-28 18:08:10
0228180706036900008,盒装龙眼,精品水果,2018-02-28 18:07:06
0228180516036500009,广西国产香蕉,应季水果,2018-02-28 18:05:16
0228180509077300005,促销香蕉,应季水果,2018-02-28 18:05:09
0228180430078000001,套袋草莓,精品水果,2018-02-28 18:04:30
0228180344056200009,桂圆,应季水果,2018-02-28 18:03:44
0228180337048500003,海南圣女果,应季水果,2018-02-28 18:03:37
0228180337048500003,粑粑柑,精品水果,2018-02-28 18:03:37
0228180318047200005,广西沙糖桔,应季水果,2018-02-28 18:03:18
0228180318047200005,特价红心火龙果,应季水果,2018-02-28 18:03:18
0228180318047200005,白心火龙果小果,应季水果,2018-02-28 18:03:18
0228180243003600006,广西沙糖桔,应季水果,2018-02-28 18:02:43
0228180243003600006,甜宝草莓,应季水果,2018-02-28 18:02:43
0228180243003600006,四川爱媛橙,应季水果,2018-02-28 18:02:43
0228180234043900003,加拿大车厘子,精品水果,2018-02-28 18:02:34
0228180230081300008,广东皇帝柑,应季水果,2018-02-28 18:02:30
0228180230021100005,库尔勒香梨（一级）,应季水果,2018-02-28 18:02:30
0228180230003600002,广西国产香蕉,应季水果,2018-02-28 18:02:30
0228180132072500009,国产猕猴桃,应季水果,2018-02-28 18:01:32
0228180132072500009,甜宝草莓,应季水果,2018-02-28 18:01:32
0228180131058500004,广西沙糖桔,应季水果,2018-02-28 18:01:31
0228180113038900002,广西沙糖桔,应季水果,2018-02-28 18:01:13
0228180113038900002,广西国产香蕉,应季水果,2018-02-28 18:01:13
0228180008094600005,千禧圣女果） 斤,应季水果,2018-02-28 18:00:08
0228180008094600005,中华红橙,应季水果,2018-02-28 18:00:08
0228175943002100001,特价,应季水果,2018-02-28 17:59:43
0228175919044100006,海南圣女果,应季水果,2018-02-28 17:59:19
0228175844039100008,新疆阿克苏冰糖心苹果,应季水果,2018-02-28 17:58:44
0228175802065800005,菲律宾皇帝香蕉 （斤菲律宾）,应季水果,2018-02-28 17:58:02
0228175802065800005,江西赣南橙,应季水果,2018-02-28 17:58:02
0228175802065800005,沙糖桔,应季水果,2018-02-28 17:58:02
0228175749073000007,西州蜜,应季水果,2018-02-28 17:57:49
0228175623022600007,海南白雪蜜瓜,应季水果,2018-02-28 17:56:23
0228175615091000008,海南圣女果,应季水果,2018-02-28 17:56:15
0228175538082700004,黑美人西瓜,应季水果,2018-02-28 17:55:38
0228175433064300004,海南圣女果,应季水果,2018-02-28 17:54:33
0228175405000100001,甜宝草莓,应季水果,2018-02-28 17:54:05
0228175405000100001,每日多25.3橙家庭装,精品水果,2018-02-28 17:54:05
0228175356050300001,广西国产香蕉,应季水果,2018-02-28 17:53:56
0228175208084800004,广西国产香蕉,应季水果,2018-02-28 17:52:08
0228175201025600008,广西沙糖桔,应季水果,2018-02-28 17:52:01
0228175053017500004,广西沙糖桔,应季水果,2018-02-28 17:50:53
0228175037022800001,江西赣南橙,应季水果,2018-02-28 17:50:36
0228175009026500004,甜宝草莓,应季水果,2018-02-28 17:50:09
0228175009026500004,库尔勒香梨（特级TJ）,应季水果,2018-02-28 17:50:09
0228174908019400003,陕西精品野生盒装猕猴桃,应季水果,2018-02-28 17:49:08
0228174803022500004,智利牛油果,应季水果,2018-02-28 17:48:03
0228174803022500004,韩国梨,应季水果,2018-02-28 17:48:03
0228174726056700004,水仙芒果,应季水果,2018-02-28 17:47:26
0228174718039600002,海南白雪蜜瓜,应季水果,2018-02-28 17:47:18
0228174707011400001,广西沙糖桔,应季水果,2018-02-28 17:47:07
0228174707011400001,高原红苹果,应季水果,2018-02-28 17:47:07
0228174644101200004,甜宝草莓,应季水果,2018-02-28 17:46:44
0228174644101200004,香蕉,应季水果,2018-02-28 17:46:44
0228174601003300008,河北皇冠梨 河北斤,应季水果,2018-02-28 17:46:01
0228174601003300008,广西国产香蕉,应季水果,2018-02-28 17:46:01
0228174434091300002,中华红橙,应季水果,2018-02-28 17:44:34
0228174425032600002,广西沙糖桔,应季水果,2018-02-28 17:44:25
0228174350041500010,广西沙糖桔,应季水果,2018-02-28 17:43:50
0228174350041500010,江西赣南脐橙（中果）,应季水果,2018-02-28 17:43:50
0228174310053900007,智利牛油果,应季水果,2018-02-28 17:43:10
0228174153045500008,海南圣女果,应季水果,2018-02-28 17:41:53
0228174144067200002,广西国产香蕉,应季水果,2018-02-28 17:41:44
0228174131018100004,白心火龙果（10元3个） 越南斤,应季水果,2018-02-28 17:41:31
0228174128026400003,广西国产香蕉,应季水果,2018-02-28 17:41:28
0228174128026400003,平和红肉柚子,应季水果,2018-02-28 17:41:28
0228174101095500002,香蕉,应季水果,2018-02-28 17:41:01
0228174101095500002,烟台富士苹果（80-85）,应季水果,2018-02-28 17:41:01
0228174056087800002,海南圣女果,应季水果,2018-02-28 17:40:56
0228174056087800002,韩国梨,应季水果,2018-02-28 17:40:56
0228174056087800002,盒装龙眼,精品水果,2018-02-28 17:40:56
0228174024020200002,甜宝草莓,应季水果,2018-02-28 17:40:24
0228173902094400002,甜宝草莓,应季水果,2018-02-28 17:39:02
0228173859018900002,白心火龙果（10元3个） 越南斤,应季水果,2018-02-28 17:38:59
0228173838053900001,智利牛油果,应季水果,2018-02-28 17:38:38
0228173814051900001,广西沙糖桔,应季水果,2018-02-28 17:38:14
0228173814051900001,广西国产香蕉,应季水果,2018-02-28 17:38:14
0228173742074600003,陕西精品野生盒装猕猴桃,应季水果,2018-02-28 17:37:42
0228173741100200004,白心火龙果（10元3个） 越南斤,应季水果,2018-02-28 17:37:41
0228173732101000001,特价红心火龙果,应季水果,2018-02-28 17:37:32
0228173723052800009,普通白心柚子,应季水果,2018-02-28 17:37:23
0228173654080500002,国产红提葡萄,精品水果,2018-02-28 17:36:54
0228173632084000001,广东皇帝柑,应季水果,2018-02-28 17:36:32
0228173632084000001,特价红心火龙果,应季水果,2018-02-28 17:36:32
0228173632084000001,特价,应季水果,2018-02-28 17:36:32
0228173619045500001,海南圣女果,应季水果,2018-02-28 17:36:19
0228173615048400005,特价,精品水果,2018-02-28 17:36:15
0228173547008200006,甜宝草莓,应季水果,2018-02-28 17:35:47
0228173544054900002,富崎乐猪肉脯,应季水果,2018-02-28 17:35:44
0228173518009900008,菲律宾凤梨 斤,应季水果,2018-02-28 17:35:18
0228173518009900008,黑美人西瓜,应季水果,2018-02-28 17:35:18
0228173508014900005,促销香蕉,应季水果,2018-02-28 17:35:08
0228173349001300007,沙糖桔,应季水果,2018-02-28 17:33:49
0228173222040500004,木瓜（小箱）,应季水果,2018-02-28 17:32:22
0228173118015300001,特价苹果,应季水果,2018-02-28 17:31:18
0228173118015300001,普通白心柚子,应季水果,2018-02-28 17:31:18
0228173045005400002,菠萝蜜,精品水果,2018-02-28 17:30:45
0228173029025000006,粑粑柑,精品水果,2018-02-28 17:30:29
0228173029025000006,散装柠檬,应季水果,2018-02-28 17:30:29
0228173017098000001,香蕉,应季水果,2018-02-28 17:30:17
0228173002073900003,新疆若羌红枣,应季水果,2018-02-28 17:30:02
0228172922093600001,泰国散装龙眼,应季水果,2018-02-28 17:29:22
0228172922093600001,千禧圣女果） 斤,应季水果,2018-02-28 17:29:22
0228172922093600001,进口香蕉（都乐香蕉）,应季水果,2018-02-28 17:29:22
0228172922093600001,红星苹果,应季水果,2018-02-28 17:29:22
0228172901061600008,西州蜜,应季水果,2018-02-28 17:29:01
0228172901061600008,西州蜜,应季水果,2018-02-28 17:29:01
0228172821038200007,沙糖桔,应季水果,2018-02-28 17:28:21
0228172749069700008,海南圣女果,应季水果,2018-02-28 17:27:49
0228172749069700008,沙糖桔,应季水果,2018-02-28 17:27:49
0228172749069700008,比利时啤梨,精品水果,2018-02-28 17:27:49
0228172737020400004,韩国梨,应季水果,2018-02-28 17:27:37
0228172711041300008,特价,应季水果,2018-02-28 17:27:11
0228172502008000002,沙糖桔,应季水果,2018-02-28 17:25:02
0228172500018100007,甜宝草莓,应季水果,2018-02-28 17:25:00
0228172451004600006,韩国梨,应季水果,2018-02-28 17:24:51
0228172312073100009,陕西精品野生盒装猕猴桃,应季水果,2018-02-28 17:23:12
0228172202023900004,库尔勒香梨（一级）,应季水果,2018-02-28 17:22:02
0228172155035200012,陕西精品野生盒装猕猴桃,应季水果,2018-02-28 17:21:55
0228172138072400003,小台农芒果,应季水果,2018-02-28 17:21:38
0228172138072400003,菠萝蜜,精品水果,2018-02-28 17:21:38
0228172120040200009,广西沙糖桔,应季水果,2018-02-28 17:21:20
0228171809083500008,广西国产香蕉,应季水果,2018-02-28 17:18:09
0228171533047200006,白心火龙果大果,应季水果,2018-02-28 17:15:33
0228171451001100008,广西沙糖桔,应季水果,2018-02-28 17:14:51
0228171411036100005,陕西精品野生盒装猕猴桃,应季水果,2018-02-28 17:14:11
0228171154081900006,菠萝蜜,精品水果,2018-02-28 17:11:54
0228171023023200007,木瓜（小箱）,应季水果,2018-02-28 17:10:23
0228170713003000004,精品富士苹果（全红）,应季水果,2018-02-28 17:07:13
0228170432010400005,散装柠檬,应季水果,2018-02-28 17:04:32
0228170305079200009,广东皇帝柑,应季水果,2018-02-28 17:03:05
0228170305079200009,海南圣女果,应季水果,2018-02-28 17:03:05
0228170256033500006,红心柚子,精品水果,2018-02-28 17:02:56
0228170210085100005,西州蜜,应季水果,2018-02-28 17:02:10
0228170158047800006,散装柠檬,应季水果,2018-02-28 17:01:58
0228170111029300006,海南圣女果,应季水果,2018-02-28 17:01:11
0228170111029300006,香蕉,应季水果,2018-02-28 17:01:11
80227205918037100009,西州蜜,应季水果,2018-02-27 20:59:18
80227205900020900012,广西沙糖桔,应季水果,2018-02-27 20:59:00
80227205900020900012,小台农芒果,应季水果,2018-02-27 20:59:00
80227205703026200006,盒装龙眼,精品水果,2018-02-27 20:57:03
80227205703026200006,库尔勒香梨（一级）,应季水果,2018-02-27 20:57:03
80227205625010100004,菠萝蜜,精品水果,2018-02-27 20:56:25
80227205621086300009,泰国散装龙眼,应季水果,2018-02-27 20:56:21
80227205408097200007,特价,应季水果,2018-02-27 20:54:08
80227205408097200007,香蕉,应季水果,2018-02-27 20:54:08
80227205207033100012,海南白雪蜜瓜,应季水果,2018-02-27 20:52:07
80227204830009200008,甜宝草莓,应季水果,2018-02-27 20:48:30
80227204830009200008,车厘子,精品水果,2018-02-27 20:48:30
80227204640092000006,甜宝草莓,应季水果,2018-02-27 20:46:40
80227204640092000006,甜宝草莓,应季水果,2018-02-27 20:46:40
80227204540018500002,广西沙糖桔,应季水果,2018-02-27 20:45:40
80227204331067600008,菠萝蜜,精品水果,2018-02-27 20:43:31
80227204117054900001,套袋草莓,精品水果,2018-02-27 20:41:17
80227203913009800001,甜宝草莓,应季水果,2018-02-27 20:39:13
